name_of_cate,original_url,Last_page_link,list_page_no
རྒྱལ་ཁབ་བཅའ་ཁྲིམས།,http://ti.kbcmw.com/html/zcfg/djfl/,no link last page link,0
བོད་སྲོལ་གནའ་ཁྲིམས,http://ti.kbcmw.com/html/zcfg/zcfg/,no link last page link,0
སྲིད་ཇུས་འགྲེལ་བཤད།,http://ti.kbcmw.com/html/zcfg/jszc/,no link last page link,0
བོད་ཀྱི་བཟའ་བཏུང་།,http://ti.kbcmw.com/html/ys/,index_2.html,2
མིང་མཛོད།,http://ti.kbcmw.com/html/cd/,no link last page link,0
དེང་རབས་གླུ་དབྱངས།,http://ti.kbcmw.com/html/yy/xdyy/,no link last page link,0
གསར་བྱུང་འོད་སྡེར།,http://ti.kbcmw.com/html/yy/zxgd/,no link last page link,0
རོལ་ཆས་ངོ་སྤྲོད།,http://ti.kbcmw.com/html/yy/yqjs/,no link last page link,0
གླུ་བ་གླུ་མ།,http://ti.kbcmw.com/html/yy/gsjs/,no link last page link,0
རོལ་མོའི་གླེང་སྟེགས།,http://ti.kbcmw.com/html/yy/zylt/,no link last page link,0
འཚོ་བའི་ཤེས་བྱ།,http://ti.kbcmw.com/html/shcs/,index_6.html,6
