original_url,name_of_cate,Last_page_link,list_page_no
དམིགས་བསལ་དོ་ཁུར།,http://www.tibetcnr.com/zdgz2019/,20,20
འོས་སྦྱོར།,http://www.tibetcnr.com/zl/,20,20
པར་མཛོད།,http://www.tibetcnr.com/zhnew/mtxs/,20,20
གསར་འགྱུར།,http://www.tibetcnr.com/xwnew/gdxwnew/,20,20
འཛམ་གླིང་སྐར་ཁུང་།,http://www.tibetcnr.com/zhnew/wh/,20,20
འཚོ་བའི་རྒྱུན་ཤེས།,http://www.tibetcnr.com/shbk/,18,18
