name_of_cate,original_url,Last_page_link,list_page_no
རང་སྐྱོང་ཁྲིམས་སྲོལ།,https://ti.zangdiyg.com/category/index/id/124.html,"<a class=""num"" href=""/category/index/id/124/p/2.html"">2</a>",2
སྲིད་ཇུས་འགྲེལ་བཤད།,https://ti.zangdiyg.com/category/index/id/126.html,"<a class=""num"" href=""/category/index/id/126/p/3.html"">3</a>",3
ཁྲིམས་ལུགས་ཤེས་བྱ།,https://ti.zangdiyg.com/category/index/id/127.html,"<a class=""end"" href=""/category/index/id/127/p/12.html"">12</a>",12
གྱོད་དཔེ་འདེམས་བཀོད།,https://ti.zangdiyg.com/category/index/id/128.html,"<a class=""num"" href=""/category/index/id/128/p/5.html"">5</a>",5
བོད་ཀྱི་གནའ་ཁྲིམས།,https://ti.zangdiyg.com/category/index/id/129.html,no link last page link,0
བོད་ཀྱི་གསོ་རིག,https://ti.zangdiyg.com/category/index/id/117.html,"<a class=""num"" href=""/category/index/id/117/p/8.html"">8</a>",8
བདེ་ཐང་ཤེས་བྱ།,https://ti.zangdiyg.com/category/index/id/118.html,"<a class=""end"" href=""/category/index/id/118/p/29.html"">29</a>",29
འཚོ་བའི་རྒྱུན་ཤེས།,https://ti.zangdiyg.com/category/index/id/103.html,no link last page link,0
སྐད་གཉིས་སློབ་གསོ།,https://ti.zangdiyg.com/category/index/id/112.html,no link last page link,0
སློབ་གསོའི་ཉམས་མྱོང་།,https://ti.zangdiyg.com/category/index/id/113.html,"<a class=""num"" href=""/category/index/id/113/p/11.html"">11</a>",11
སྲོལ་རྒྱུན་སློབ་གསོ།,https://ti.zangdiyg.com/category/index/id/114.html,"<a class=""num"" href=""/category/index/id/114/p/2.html"">2</a>",2
བོད་ཁུལ་སློབ་གྲྭ།,https://ti.zangdiyg.com/category/index/id/115.html,no link last page link,0
ཁྱིམ་ཚང་སློབ་གསོ།,https://ti.zangdiyg.com/category/index/id/116.html,"<a class=""num"" href=""/category/index/id/116/p/2.html"">2</a>",2
