original_url,name_of_cate,Last_page_link,list_page_no
http://www.teducn.com/zhuanyeshuyu/shengwu/,སྐྱེ་དངོས།,"ངོས་1/2  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་40     མདུན་ངོས།  上一页下一页尾页བསྒྱུར་ཐོན
:第 1 页第 2 页",2
http://www.teducn.com/cidian/ruanjian/,སྙི་ཆས་གྱི་སྐོར།,སྐད་རིགས།,1
http://www.teducn.com/chuantongjiaoyu/chuantongxueke/,སྲོལ་རྒྱུན་རིག་ཚན།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་12     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/news/jiaoyu/,སློབ་གསོ་གསར་འགྱུར།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་18     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/kechixu/linian/,སློབ་གསོའི་དགོངས་པ།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་1     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/chuantongjiaoyu/jiaoyulishi/,སློབ་གསོའི་ལོ་རྒྱུས།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་1     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/xuexiaojieshao/xiaoxue/,སློབ་ཆུང་སློབ་གྲྭ།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་2     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/xuexiaojieshao/daxue/,སློབ་ཆེན་སློབ་གྲྭ།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་2     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/xuexiaojieshao/zhongxue/,སློབ་འབྲིང་སློབ་གྲྭ།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་1     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/news/xiaoyuan/,སློབ་རའི་གསར་འགྱུར།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་7     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
