original_url,name_of_cate,Last_page_link,list_page_no
https://sertha.net/category/hhdl/,༧གོང་ས་མཆོག,https://sertha.net/category/hhdl/page/3/,3
https://sertha.net/category/%e0%bd%a2%e0%be%a9%e0%bd%bc%e0%bd%98%e0%bc%8b%e0%bd%a2%e0%bd%b2%e0%bd%82/,རྩོམ་རིག,https://sertha.net/category/%E0%BD%A2%E0%BE%A9%E0%BD%BC%E0%BD%98%E0%BC%8B%E0%BD%A2%E0%BD%B2%E0%BD%82/page/5/,5
https://sertha.net/category/%e0%bd%a6%e0%be%b3%e0%bd%bc%e0%bd%96%e0%bc%8b%e0%bd%82%e0%bd%a6%e0%bd%bc%e0%bc%8d/,སློབ་གསོ།,no link last page link,0
https://sertha.net/category/%e0%bd%82%e0%bd%a6%e0%bd%a2%e0%bc%8b%e0%bd%a2%e0%be%a9%e0%bd%bc%e0%bd%98%e0%bc%8d/,གསར་རྩོམ།,no link last page link,0
https://sertha.net/category/%e0%bd%a3%e0%bd%bc%e0%bc%8b%e0%bd%a2%e0%be%92%e0%be%b1%e0%bd%b4%e0%bd%a6%e0%bc%8d/,ལོ་རྒྱུས།,https://sertha.net/category/%E0%BD%A3%E0%BD%BC%E0%BC%8B%E0%BD%A2%E0%BE%92%E0%BE%B1%E0%BD%B4%E0%BD%A6%E0%BC%8D/page/2/,2
https://sertha.net/category/%e0%bd%82%e0%bd%a6%e0%bd%a2%e0%bc%8b%e0%bd%a0%e0%bd%82%e0%be%b1%e0%bd%b4%e0%bd%a2%e0%bc%8d/,གསར་འགྱུར།,https://sertha.net/category/%E0%BD%82%E0%BD%A6%E0%BD%A2%E0%BC%8B%E0%BD%A0%E0%BD%82%E0%BE%B1%E0%BD%B4%E0%BD%A2%E0%BC%8D/page/2/,2
https://sertha.net/category/%e0%bd%98%e0%bd%b2%e0%bc%8b%e0%bd%a6%e0%be%a3%e0%bc%8b%e0%bd%84%e0%bd%bc%e0%bc%8b%e0%bd%a6%e0%be%a4%e0%be%b2%e0%bd%bc%e0%bd%91%e0%bc%8d/,མི་སྣ་ངོ་སྤྲོད།,no link last page link,0
https://sertha.net/category/%e0%bd%a6%e0%be%b2%e0%bd%bc%e0%bd%a3%e0%bc%8b%e0%bd%a2%e0%be%92%e0%be%b1%e0%bd%b4%e0%bd%93%e0%bc%8d/,སྲོལ་རྒྱུན།,no link last page link,0
