file_name,links,data_path,audio_path
RFA_གོང་ས་མཆོག_101,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-teaching-for-taiwanese-2023-10052023115129.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1040,https://www.rfa.org/tibetan/dalai-lama/kalam-award-chennai-11102015102459.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1010,https://www.rfa.org/tibetan/dalai-lama/dalai-lama-bestowed-sixteen-drops-of-kadam-initiation-to-devotees-12302015121839.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1041,https://www.rfa.org/tibetan/dalai-lama/barkham-offered-tenshuk-for-hhdl-11082015125448.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1011,https://www.rfa.org/tibetan/dalai-lama/women-role-on-promoting-compassion-12292015122531.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1042,https://www.rfa.org/tibetan/dalai-lama/barkham-offered-tenshuk-11082015095004.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1012,https://www.rfa.org/tibetan/dalai-lama/lamrim-teaching-at-tashilhunpo-concluded-12282015103608.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1043,https://www.rfa.org/tibetan/dalai-lama/his-holiness-addressed-american-enterprise-institute-11042015145747.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1013,https://www.rfa.org/tibetan/dalai-lama/hhdl-greeted-western-devotees-on-christmas-12272015100745.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1044,https://www.rfa.org/tibetan/dalai-lama/jang-gunchoe-conclusion-at-tsulakhang-dharamsala-10312015111944.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
